time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
2019 to 20,East of England,A level,Modern languages - other,Portuguese,16.0,6.25,50.0,75.0,100.0,100.0,100.0
2019 to 20,East of England,A level,Arts,Communication Studies,0.0,,,,,,
2019 to 20,East of England,A level,Physical Education,Dance,140.0,11.42857,30.71429,70.71429,90.0,99.28571,100.0
2019 to 20,East of England,A level,Maths,Total Maths,8253.0,21.50733,46.39525,66.94535,84.16333,94.36569,99.24876
2019 to 20,East of England,A level,English,Total English,6137.0,10.11895,29.10217,60.35522,88.12123,98.01206,99.73929
2019 to 20,East of England,A level,Geography,Geography (World Development),0.0,,,,,,
2019 to 20,East of England,A level,Science - other,Electronics,31.0,22.58065,45.16129,58.06452,77.41935,96.77419,100.0
2019 to 20,East of England,A level,Physical Education,Total Physical Education,1379.0,9.20957,28.49891,59.60841,84.55402,96.73677,99.92748
2019 to 20,East of England,A level,Music,Total Music,616.0,11.03896,35.87662,67.04545,89.12338,98.37662,100.0
2019 to 20,East of England,A level,English,English language & literature,1143.0,7.1741,22.65967,54.4182,86.35171,97.28784,99.47507
2019 to 20,East of England,A level,Psychology,Total Psychology,6820.0,9.03226,27.71261,54.50147,80.93842,94.64809,99.16422
2019 to 20,East of England,A level,Modern languages - other,Irish,0.0,,,,,,
2019 to 20,East of England,A level,English,English language,1278.0,4.61659,18.5446,51.95618,84.03756,97.41784,99.76526
2019 to 20,East of England,A level,History,Total History,4442.0,10.85097,32.57542,64.0027,88.74381,97.61369,99.79739
2019 to 20,East of England,A level,All facilitating subjects,Total facilitating subjects,36081.0,16.04723,40.09867,65.21992,85.88177,95.86763,99.45123
2019 to 20,East of England,A level,ICT,Total ICT,0.0,,,,,,
2019 to 20,East of England,A level,Modern languages - other,Welsh (Second Language),0.0,,,,,,
2019 to 20,East of England,A level,Modern languages - other,Total Other Modern Languages,237.0,25.31646,62.44726,81.4346,93.67089,94.51477,95.78059
2019 to 20,East of England,A level,Science - other,Total Other Sciences,249.0,15.66265,34.93976,56.2249,79.11647,94.37751,99.19679
2019 to 20,East of England,A level,Modern languages - other,Punjabi,0.0,,,,,,
2019 to 20,East of England,A level,Classical studies,Total Classical studies,323.0,18.26625,48.60681,76.47059,92.26006,97.83282,100.0
2019 to 20,East of England,A level,Art & Design,History of Art,31.0,19.35484,45.16129,77.41935,93.54839,100.0,100.0
2019 to 20,East of England,A level,English,English literature,3716.0,12.91712,34.71475,65.06997,90.06997,98.43918,99.81163
2019 to 20,East of England,A level,Modern languages,Total Modern languages including Other,1800.0,20.5,53.22222,78.44444,93.33333,97.94444,99.33333
2019 to 20,East of England,A level,Modern languages - other,Dutch,0.0,,,,,,
2019 to 20,West Midlands,A level,Art & Design,Critical Studies,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Welsh,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Arabic,37.0,40.54054,78.37838,86.48649,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Religious Studies,Total Religious Studies,1695.0,8.0826,29.55752,60.41298,86.54867,96.57817,99.52802
2019 to 20,West Midlands,A level,Design and technology,D&T Food Technology,0.0,,,,,,
2019 to 20,West Midlands,A level,Humanities,Total Humanities,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Polish,72.0,26.38889,63.88889,90.27778,91.66667,91.66667,91.66667
2019 to 20,West Midlands,A level,Science - other,Environmental Science,89.0,1.1236,12.35955,35.95506,66.29213,92.13483,100.0
2019 to 20,West Midlands,A level,Modern languages - other,Modern Greek,2.0,0.0,50.0,100.0,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Accounting and Finance,Total Accounting and finance,237.0,2.95359,21.51899,43.88186,72.1519,92.40506,100.0
2019 to 20,West Midlands,A level,Archaeology,Total Archaeology,0.0,,,,,,
2019 to 20,West Midlands,A level,Arts,Expressive Arts & Performance Studies,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Russian,18.0,33.33333,83.33333,88.88889,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Classical studies,Latin,8.0,37.5,100.0,100.0,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Design and technology,D&T Product Design,763.0,7.07733,24.11533,50.19659,76.53997,92.79161,99.86894
2019 to 20,West Midlands,A level,Maths,Additional Mathematics,0.0,,,,,,
2019 to 20,West Midlands,A level,Science - other,Science in Society,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Turkish,4.0,100.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Modern languages - other,Modern Hebrew,0.0,,,,,,
2019 to 20,West Midlands,A level,Science - Biology,Total Biology,6029.0,9.18892,29.55714,56.04578,80.44452,94.14497,99.40289
2019 to 20,West Midlands,A level,Art & Design,Art and design,240.0,13.33333,34.16667,68.75,94.16667,98.75,100.0
2019 to 20,West Midlands,A level,Arts,Film Studies,456.0,7.45614,23.24561,59.42982,88.37719,98.02632,99.5614
2019 to 20,West Midlands,A level,Design and technology,D&T Systems & Control,0.0,,,,,,
2019 to 20,West Midlands,A level,Law,Total Law,1249.0,6.72538,24.57966,53.16253,83.50681,95.35629,99.35949
2019 to 20,West Midlands,A level,Design and technology,D&T Engineering,3.0,0.0,0.0,66.66667,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Classical studies,Ancient History,42.0,9.52381,30.95238,50.0,83.33333,95.2381,100.0
2019 to 20,West Midlands,A level,Physical Education,Physical Education/Sports Studies,831.0,8.90493,26.47413,54.99398,83.15283,95.66787,99.87966
2019 to 20,West Midlands,A level,General studies,Critical Thinking,0.0,,,,,,
2019 to 20,West Midlands,A level,Music,Music,249.0,13.65462,41.36546,73.89558,91.16466,98.39357,100.0
2019 to 20,West Midlands,A level,Business Studies,Total Business Studies,2960.0,6.0473,23.47973,54.18919,85.54054,97.43243,99.69595
2019 to 20,West Midlands,A level,Art & Design,3d Studies,110.0,4.54545,10.90909,44.54545,78.18182,95.45455,100.0
2019 to 20,West Midlands,A level,Modern languages,French,518.0,16.02317,47.10425,71.42857,90.34749,97.49035,99.80695
2019 to 20,West Midlands,A level,Design and technology,D&T Textiles Technology,21.0,19.04762,38.09524,71.42857,95.2381,100.0,100.0
2019 to 20,West Midlands,A level,Anthropology,Total Anthropology,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Italian,60.0,28.33333,68.33333,93.33333,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Sociology,Total Sociology,3858.0,6.89476,25.01296,55.26179,84.55158,96.96734,99.63712
2019 to 20,West Midlands,A level,Science - Physics,Total Physics,2957.0,12.88468,32.80352,56.34089,78.11972,92.89821,99.39127
2019 to 20,West Midlands,A level,Art & Design,Fine Art,1234.0,15.07293,37.35818,68.63857,92.05835,97.48784,99.75689
2019 to 20,West Midlands,A level,Music,Music Technology,48.0,6.25,16.66667,43.75,75.0,93.75,100.0
2019 to 20,West Midlands,A level,Science - Chemistry,Total Chemistry,4985.0,10.85256,33.82146,59.51856,81.94584,94.16249,99.17753
2019 to 20,West Midlands,A level,Art & Design,Textiles,148.0,13.51351,45.27027,80.40541,94.59459,97.97297,99.32432
2019 to 20,West Midlands,A level,Home Economics,Home Economics (Food),0.0,,,,,,
2019 to 20,West Midlands,A level,Arts,Media/Film/Tv Studies,1102.0,4.08348,19.60073,55.26316,90.10889,98.36661,99.63702
2019 to 20,West Midlands,A level,Modern languages - other,Japanese,4.0,25.0,25.0,50.0,75.0,100.0,100.0
2019 to 20,West Midlands,A level,Maths,Maths,7117.0,18.61739,42.92539,63.79092,83.22327,94.18294,99.31151
2019 to 20,West Midlands,A level,Modern languages,Spanish,366.0,18.03279,46.99454,75.40984,91.53005,98.63388,99.18033
2019 to 20,West Midlands,A level,Art & Design,Total Art & Design,2741.0,12.33127,34.47647,67.71251,91.39,97.59212,99.67165
2019 to 20,West Midlands,A level,Classical studies,Other Classical Languages,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Chinese,11.0,45.45455,90.90909,100.0,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Geography,Geography,2435.0,8.70637,31.17043,60.41068,86.81725,97.04312,99.71253
2019 to 20,West Midlands,A level,All subjects,Total subjects,62802.0,10.55221,31.41142,59.05067,84.37789,95.88707,99.53186
2019 to 20,West Midlands,A level,Modern languages - other,Bengali,1.0,0.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Design and technology,Design & Technology,0.0,,,,,,
2019 to 20,West Midlands,A level,Computer Science,Total Computer Science,1131.0,11.84792,32.44916,59.50486,83.20071,95.04863,99.55791
2019 to 20,West Midlands,A level,Maths - Further,Total Further Mathematics,921.0,35.72204,65.25516,83.38762,94.46254,98.15418,100.0
2019 to 20,West Midlands,A level,General studies,Total General studies,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Persian,0.0,,,,,,
2019 to 20,West Midlands,A level,Arts,Total Arts,2117.0,5.81011,23.76004,59.14029,90.41096,98.44119,99.66934
2019 to 20,West Midlands,A level,Classical studies,Classical Civilisation,214.0,8.8785,29.43925,60.28037,89.25234,97.66355,100.0
2019 to 20,West Midlands,A level,Science - other,Geology,145.0,11.72414,33.10345,56.55172,82.06897,95.17241,99.31034
2019 to 20,West Midlands,A level,Art & Design,Graphics,321.0,10.28037,32.39875,69.4704,90.65421,98.44237,99.37695
2019 to 20,West Midlands,A level,Arts,Creative Writing,0.0,,,,,,
2019 to 20,West Midlands,A level,Arts,Drama & Theatre Studies,559.0,7.8712,32.37925,66.54741,92.66547,98.92665,99.82111
2019 to 20,West Midlands,A level,Modern languages - other,Gujarati,0.0,,,,,,
2019 to 20,West Midlands,A level,Design and technology,Total D&T,787.0,7.36976,24.39644,50.82592,77.12834,93.01144,99.87294
2019 to 20,West Midlands,A level,Geography,Total Geography,2435.0,8.70637,31.17043,60.41068,86.81725,97.04312,99.71253
2019 to 20,West Midlands,A level,All STEM subjects,Total STEM subjects,23392.0,13.98341,36.31583,60.28129,81.89552,94.14757,99.34166
2019 to 20,West Midlands,A level,Modern languages - other,Urdu,32.0,34.375,75.0,96.875,100.0,100.0,100.0
2019 to 20,West Midlands,A level,Classical studies,Classical Greek,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages,German,189.0,15.34392,48.67725,73.54497,92.59259,97.8836,100.0
2019 to 20,West Midlands,A level,Art & Design,Photography,671.0,8.94188,31.74367,66.1699,91.20715,97.31744,99.55291
2019 to 20,West Midlands,A level,Home Economics,Home Economics,0.0,,,,,,
2019 to 20,West Midlands,A level,Maths,Mathematics (Statistics),252.0,2.77778,13.49206,42.85714,70.63492,88.88889,98.01587
2019 to 20,West Midlands,A level,Logic/Philosophy,Total Logic/ Philosophy,136.0,7.35294,25.73529,59.55882,83.82353,94.85294,99.26471
2019 to 20,West Midlands,A level,Classical studies,Classics (General),0.0,,,,,,
2019 to 20,West Midlands,A level,Home Economics,Total Home Economics,0.0,,,,,,
2019 to 20,West Midlands,A level,Maths,Mathematics (Pure),0.0,,,,,,
2019 to 20,West Midlands,A level,Maths,Use of mathematics,0.0,,,,,,
2019 to 20,West Midlands,A level,Economics,Total Economics,1700.0,9.52941,33.76471,63.0,87.52941,97.17647,99.58824
2019 to 20,West Midlands,A level,Government and politics,Total Government and Politics,815.0,10.55215,32.76074,60.9816,86.25767,96.68712,99.3865
2019 to 20,West Midlands,A level,General studies,General Studies,0.0,,,,,,
2019 to 20,West Midlands,A level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
2019 to 20,West Midlands,A level,Modern languages - other,Portuguese,10.0,30.0,70.0,80.0,90.0,90.0,90.0
2019 to 20,West Midlands,A level,Arts,Communication Studies,0.0,,,,,,
2019 to 20,West Midlands,A level,Physical Education,Dance,70.0,17.14286,44.28571,80.0,95.71429,100.0,100.0
2019 to 20,West Midlands,A level,Maths,Total Maths,7369.0,18.07572,41.91885,63.07504,82.79278,94.0019,99.2672
2019 to 20,West Midlands,A level,English,Total English,5536.0,8.5802,26.9328,57.82153,87.53613,98.39234,99.72905
