time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved 
2020 to 21,East of England,AS level,Design and technology,D&T Food Technology,0.0,,,,,,
2020 to 21,East of England,AS level,Home Economics,Home Economics (Food),0.0,,,,,,
2020 to 21,East of England,AS level,Modern languages - other,Italian,0.0,,,,,,
2020 to 21,East of England,AS level,Arts,Media/Film/Tv Studies,104.0,0.0,17.30769,39.42308,63.46154,83.65385,94.23077
2020 to 21,East of England,AS level,Physical Education,Physical Education/Sports Studies,34.0,0.0,29.41176,67.64706,85.29412,97.05882,100.0
2020 to 21,East of England,AS level,ICT,Total ICT,0.0,,,,,,
2020 to 21,East of England,AS level,Art & Design,Critical Studies,0.0,,,,,,
2020 to 21,East of England,AS level,Maths,Statistics,0.0,,,,,,
2020 to 21,East of England,AS level,Geography,Geography (World Development),0.0,,,,,,
2020 to 21,East of England,AS level,Arts,Creative Writing,0.0,,,,,,
2020 to 21,East of England,AS level,Arts,Communication Studies,0.0,,,,,,
2020 to 21,East of England,AS level,All STEM subjects,Total STEM subjects,1999.0,0.0,33.41671,49.67484,66.88344,80.89045,93.1966
2020 to 21,East of England,AS level,Classical studies,Total Classical studies,6.0,0.0,50.0,100.0,100.0,100.0,100.0
2020 to 21,East of England,AS level,Modern languages - other,Punjabi,0.0,,,,,,
2021 to 22,South West,A level,Modern languages - other,Chinese,31.0,29.03226,48.3871,74.19355,87.09677,90.32258,90.32258
2021 to 22,South West,A level,Modern languages - other,Italian,17.0,52.94118,82.35294,88.23529,100.0,100.0,100.0
2021 to 22,South West,A level,Modern languages - other,Japanese,9.0,22.22222,22.22222,55.55556,88.88889,100.0,100.0
2021 to 22,South West,A level,Classical studies,Latin,5.0,40.0,60.0,60.0,100.0,100.0,100.0
2021 to 22,South West,A level,Modern languages - other,Modern Greek,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,South West,A level,Science - other,Geology,152.0,11.84211,36.84211,58.55263,80.92105,92.76316,98.68421
2021 to 22,South West,A level,Arts,Creative Writing,0.0,,,,,,
2021 to 22,South West,A level,Maths,Use of mathematics,0.0,,,,,,
2021 to 22,South West,A level,Classical studies,Ancient History,45.0,11.11111,37.77778,62.22222,77.77778,93.33333,97.77778
2021 to 22,South West,A level,Modern languages - other,Irish,0.0,,,,,,
2021 to 22,South West,A level,General studies,Critical Thinking,0.0,,,,,,
2021 to 22,South West,A level,Art & Design,Textiles,300.0,15.33333,33.33333,64.66667,89.0,94.66667,96.66667
2021 to 22,South West,A level,Government and politics,Total Government and Politics,1124.0,11.03203,34.69751,65.12456,84.51957,95.64057,98.39858
2021 to 22,South West,A level,Physical Education,Total Physical Education,1146.0,11.95462,31.76265,58.81326,79.84293,92.32112,98.34206
2021 to 22,South West,A level,Modern languages - other,Punjabi,0.0,,,,,,
2021 to 22,South West,A level,Religious Studies,Total Religious Studies,1241.0,9.3473,29.08944,62.77196,84.44803,94.92345,98.71072
2021 to 22,South West,A level,Modern languages - other,Persian,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,South West,A level,Psychology,Total Psychology,6373.0,8.75569,26.98886,55.31147,77.40468,91.57383,97.31681
2021 to 22,South West,A level,Science - Physics,Total Physics,2848.0,15.66011,37.85112,58.84831,77.63343,90.13343,97.92837
2021 to 22,South West,A level,Science - other,Environmental Science,310.0,7.74194,21.29032,53.87097,74.51613,93.87097,99.03226
2021 to 22,South West,A level,Science - other,Electronics,53.0,5.66038,28.30189,54.71698,69.81132,90.56604,100.0
2021 to 22,South West,A level,Modern languages - other,Gujarati,0.0,,,,,,
2021 to 22,South West,A level,Art & Design,Art and design,282.0,13.82979,35.46099,67.7305,88.65248,95.74468,98.93617
2021 to 22,South West,A level,Computer Science,Total Computer Science,1106.0,13.6528,31.8264,53.70705,73.68897,88.24593,96.83544
2021 to 22,South West,A level,Geography,Total Geography,3570.0,8.82353,31.23249,62.40896,83.52941,94.7619,98.48739
2021 to 22,South West,A level,Maths - Further,Total Further Mathematics,1012.0,33.99209,60.47431,77.7668,88.14229,95.8498,98.32016
2021 to 22,South West,A level,Law,Total Law,1036.0,11.87259,29.05405,53.0888,72.00772,88.70656,96.5251
2021 to 22,South West,A level,Modern languages,German,177.0,18.64407,48.58757,68.92655,88.70056,97.17514,100.0
2021 to 22,South West,A level,General studies,Total General studies,0.0,,,,,,
2021 to 22,South West,A level,Maths,Maths,5835.0,20.59983,43.54756,59.98286,76.00686,89.15167,97.37789
2021 to 22,South West,A level,Modern languages - other,Modern Hebrew,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,South West,A level,Classical studies,Classics (General),0.0,,,,,,
2021 to 22,South West,A level,Art & Design,Graphics,521.0,16.50672,36.27639,68.33013,88.09981,95.77735,99.04031
2021 to 22,South West,A level,Modern languages,French,586.0,16.72355,46.24573,70.13652,87.20137,95.22184,98.80546
2021 to 22,South West,A level,Classical studies,Other Classical Languages,0.0,,,,,,
2021 to 22,South West,A level,Accounting and Finance,Total Accounting and finance,98.0,3.06122,7.14286,38.77551,66.32653,87.7551,97.95918
2021 to 22,South West,A level,Design and technology,D&T Systems & Control,0.0,,,,,,
2021 to 22,South West,A level,All subjects,Total subjects,60181.0,12.51392,33.07688,59.89598,80.59687,92.5292,97.93456
2021 to 22,South West,A level,Music,Total Music,415.0,9.39759,36.62651,65.54217,85.3012,95.18072,98.79518
2021 to 22,South West,A level,Design and technology,D&T Engineering,48.0,10.41667,33.33333,68.75,89.58333,100.0,100.0
2021 to 22,South West,A level,Arts,Communication Studies,0.0,,,,,,
2021 to 22,South West,A level,Business Studies,Total Business Studies,2811.0,7.3995,23.58591,58.09321,82.99538,94.1302,98.36357
2021 to 22,South West,A level,Modern languages,Total Modern languages including Other,1542.0,20.68742,47.85992,71.33593,87.22438,95.71984,98.96239
2021 to 22,South West,A level,Art & Design,Photography,1337.0,14.36051,29.39417,61.70531,86.8362,95.88631,98.80329
2021 to 22,South West,A level,Anthropology,Total Anthropology,0.0,,,,,,
2021 to 22,South West,A level,Logic/Philosophy,Total Logic/ Philosophy,200.0,10.5,31.0,51.5,69.5,84.0,96.5
2021 to 22,South West,A level,Geography,Geography (World Development),0.0,,,,,,
2021 to 22,South West,A level,English,Total English,4229.0,12.67439,31.59139,64.50698,87.34926,96.66588,99.05415
2021 to 22,South West,A level,Humanities,Total Humanities,0.0,,,,,,
2021 to 22,South West,A level,Arts,Drama & Theatre Studies,765.0,9.93464,31.37255,66.27451,88.62745,97.38562,99.86928
2021 to 22,South West,A level,Archaeology,Total Archaeology,0.0,,,,,,
2021 to 22,South West,A level,Art & Design,Fine Art,1507.0,20.63703,41.60584,71.26742,89.98009,96.88122,99.46914
2021 to 22,South West,A level,Modern languages - other,Russian,11.0,63.63636,100.0,100.0,100.0,100.0,100.0
2021 to 22,South West,A level,Home Economics,Home Economics (Food),0.0,,,,,,
2021 to 22,South West,A level,Modern languages - other,Arabic,10.0,40.0,90.0,90.0,90.0,90.0,90.0
2021 to 22,South West,A level,Modern languages - other,Dutch,0.0,,,,,,
2021 to 22,South West,A level,All facilitating subjects,Total facilitating subjects,29198.0,15.30584,37.88616,61.03158,79.51572,91.48229,97.73272
2021 to 22,South West,A level,Classical studies,Classical Civilisation,193.0,9.84456,36.78756,66.83938,90.15544,96.89119,99.48187
2021 to 22,South West,A level,Modern languages - other,Polish,17.0,52.94118,76.47059,100.0,100.0,100.0,100.0
2021 to 22,South West,A level,Science - Biology,Total Biology,5064.0,11.67062,32.18799,54.12717,74.17062,88.78357,97.01817
2021 to 22,South West,A level,History,Total History,3318.0,11.18143,32.7607,62.77878,84.65943,94.36407,97.7396
2021 to 22,South West,A level,Maths,Total Maths,5836.0,20.5963,43.5401,59.97258,75.99383,89.13639,97.36121
2021 to 22,South West,A level,Art & Design,Total Art & Design,4172.0,17.16203,35.61841,66.53883,88.32694,96.14094,98.87344
2021 to 22,South West,A level,Music,Music Technology,113.0,6.19469,29.20354,55.75221,71.68142,90.26549,97.34513
2021 to 22,South West,A level,Economics,Total Economics,1785.0,9.57983,34.06162,63.19328,84.14566,94.06162,98.43137
2021 to 22,South West,A level,Geography,Geography,3570.0,8.82353,31.23249,62.40896,83.52941,94.7619,98.48739
2021 to 22,South West,A level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
2021 to 22,South West,A level,Design and technology,D&T Product Design,775.0,11.09677,27.22581,52.51613,76.64516,92.12903,97.03226
2021 to 22,South West,A level,Arts,Media/Film/Tv Studies,1013.0,6.41658,23.59329,58.83514,86.3771,97.23593,99.30898
2021 to 22,South West,A level,Physical Education,Dance,113.0,11.50442,42.47788,77.87611,92.92035,100.0,100.0
2021 to 22,South West,A level,Modern languages - other,Turkish,9.0,33.33333,33.33333,66.66667,88.88889,100.0,100.0
2021 to 22,South West,A level,English,English language,1331.0,6.46131,22.83997,58.15177,84.74831,96.61908,99.24869
2021 to 22,South West,A level,Design and technology,D&T Textiles Technology,130.0,10.76923,29.23077,60.0,83.84615,93.84615,99.23077
2021 to 22,South West,A level,Design and technology,D&T Food Technology,0.0,,,,,,
2021 to 22,South West,A level,Science - other,Total Other Sciences,515.0,8.73786,26.60194,55.33981,75.92233,93.20388,99.02913
2021 to 22,South West,A level,Arts,Film Studies,530.0,6.03774,22.83019,59.62264,84.33962,94.5283,97.73585
2021 to 22,South West,A level,Maths,Mathematics (Pure),0.0,,,,,,
2021 to 22,South West,A level,Modern languages - other,Bengali,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,South West,A level,English,English literature,2335.0,16.95931,37.60171,68.394,88.56531,96.57388,98.88651
2021 to 22,South West,A level,Design and technology,Design & Technology,0.0,,,,,,
2021 to 22,South West,A level,Music,Music,302.0,10.59603,39.40397,69.2053,90.39735,97.01987,99.33775
2021 to 22,South West,A level,Classical studies,Classical Greek,0.0,,,,,,
2021 to 22,South West,A level,English,English language & literature,563.0,9.59147,27.35346,63.4103,88.45471,97.15808,99.28952
2021 to 22,South West,A level,Art & Design,History of Art,1.0,0.0,0.0,0.0,100.0,100.0,100.0
2021 to 22,South West,A level,Art & Design,3d Studies,216.0,19.44444,35.18519,61.11111,84.72222,95.83333,97.68519
2021 to 22,South West,A level,Modern languages,Spanish,656.0,21.03659,46.4939,71.34146,85.97561,95.73171,99.39024
2021 to 22,South West,A level,Sociology,Total Sociology,3567.0,5.83123,23.26885,53.60247,79.33838,92.23437,97.61705
2021 to 22,South West,A level,Arts,Total Arts,2308.0,7.49567,25.99653,61.4818,86.65511,96.66378,99.13345
2021 to 22,South West,A level,Design and technology,Total D&T,953.0,11.01784,27.80693,54.35467,78.27912,92.75971,97.48164
2021 to 22,South West,A level,Science - Chemistry,Total Chemistry,3669.0,13.16435,37.61243,57.37258,73.97111,87.92587,96.97465
2021 to 22,South West,A level,ICT,Total ICT,0.0,,,,,,
2021 to 22,South West,A level,General studies,General Studies,0.0,,,,,,
2021 to 22,South West,A level,Modern languages - other,Portuguese,14.0,21.42857,35.71429,57.14286,78.57143,92.85714,92.85714
2021 to 22,South West,A level,Maths,Additional Mathematics,0.0,,,,,,
2021 to 22,South West,A level,Home Economics,Total Home Economics,0.0,,,,,,
2021 to 22,South West,A level,Maths,Mathematics (Statistics),1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 to 22,South West,A level,Physical Education,Physical Education/Sports Studies,1033.0,12.00387,30.59051,56.72798,78.41239,91.48112,98.1607
2021 to 22,South West,A level,Art & Design,Critical Studies,8.0,0.0,12.5,50.0,100.0,100.0,100.0
2021 to 22,South West,A level,All STEM subjects,Total STEM subjects,19535.0,16.46788,38.8687,58.37215,75.87919,89.2603,97.30228
2021 to 22,South West,A level,Classical studies,Total Classical studies,243.0,10.69959,37.44856,65.84362,88.06584,96.2963,99.17695
2021 to 22,South West,A level,Modern languages - other,Total Other Modern Languages,123.0,40.65041,61.78862,80.4878,91.86992,95.93496,95.93496
2021 to 22,South West,A level,Modern languages - other,Urdu,1.0,0.0,0.0,100.0,100.0,100.0,100.0
2021 to 22,London,A level,Modern languages - other,Chinese,16.0,6.25,50.0,81.25,87.5,93.75,93.75
2021 to 22,London,A level,Modern languages - other,Italian,169.0,55.6213,80.47337,95.26627,99.40828,99.40828,100.0
2021 to 22,London,A level,Modern languages - other,Japanese,31.0,54.83871,80.64516,90.32258,90.32258,93.54839,96.77419
2021 to 22,London,A level,Classical studies,Latin,91.0,50.54945,81.31868,85.71429,96.7033,98.9011,98.9011
2021 to 22,London,A level,Modern languages - other,Modern Greek,28.0,67.85714,78.57143,89.28571,89.28571,100.0,100.0
2021 to 22,London,A level,Science - other,Geology,12.0,0.0,8.33333,33.33333,66.66667,91.66667,91.66667
2021 to 22,London,A level,Arts,Creative Writing,0.0,,,,,,
2021 to 22,London,A level,Maths,Use of mathematics,0.0,,,,,,
2021 to 22,London,A level,Classical studies,Ancient History,15.0,6.66667,26.66667,60.0,93.33333,100.0,100.0
2021 to 22,London,A level,Modern languages - other,Irish,0.0,,,,,,
2021 to 22,London,A level,General studies,Critical Thinking,0.0,,,,,,
2021 to 22,London,A level,Art & Design,Textiles,256.0,18.35938,37.5,64.0625,85.15625,99.21875,99.60938
2021 to 22,London,A level,Government and politics,Total Government and Politics,4441.0,12.42963,34.00135,63.54425,83.33709,93.87525,97.52308
2021 to 22,London,A level,Physical Education,Total Physical Education,1064.0,10.52632,28.85338,56.39098,78.7594,93.60902,98.02632
2021 to 22,London,A level,Modern languages - other,Punjabi,23.0,30.43478,60.86957,69.56522,86.95652,86.95652,100.0
2021 to 22,London,A level,Religious Studies,Total Religious Studies,2821.0,11.76888,33.35697,65.89862,85.74973,95.21446,98.47572
2021 to 22,London,A level,Modern languages - other,Persian,34.0,58.82353,73.52941,79.41176,82.35294,82.35294,85.29412
2021 to 22,London,A level,Psychology,Total Psychology,11571.0,10.7683,29.11589,58.19722,80.39927,92.87875,97.80486
2021 to 22,London,A level,Science - Physics,Total Physics,5804.0,16.78153,39.04204,59.59683,76.44728,89.14542,96.79531
2021 to 22,London,A level,Science - other,Environmental Science,6.0,16.66667,16.66667,16.66667,33.33333,83.33333,83.33333
2021 to 22,London,A level,Science - other,Electronics,36.0,16.66667,44.44444,58.33333,63.88889,83.33333,97.22222
2021 to 22,London,A level,Modern languages - other,Gujarati,2.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,London,A level,Art & Design,Art and design,975.0,16.30769,35.28205,66.46154,88.92308,96.30769,98.97436
2021 to 22,London,A level,Computer Science,Total Computer Science,2660.0,12.5188,30.6391,51.80451,70.82707,86.76692,94.28571
2021 to 22,London,A level,Geography,Total Geography,4009.0,11.27463,33.8239,66.10127,86.33076,95.88426,98.50337
2021 to 22,London,A level,Maths - Further,Total Further Mathematics,2459.0,41.52094,68.23912,82.22855,91.62261,97.07198,98.94266
2021 to 22,London,A level,Law,Total Law,1215.0,3.86831,16.13169,37.11934,61.8107,82.38683,95.14403
2021 to 22,London,A level,Modern languages,German,298.0,28.85906,58.72483,79.86577,91.27517,97.65101,98.99329
2021 to 22,London,A level,General studies,Total General studies,0.0,,,,,,
2021 to 22,London,A level,Maths,Maths,16255.0,22.9837,47.19163,63.34051,78.17287,90.03999,97.40388
2021 to 22,London,A level,Modern languages - other,Modern Hebrew,11.0,45.45455,72.72727,100.0,100.0,100.0,100.0
2021 to 22,London,A level,Classical studies,Classics (General),0.0,,,,,,
2021 to 22,London,A level,Art & Design,Graphics,485.0,11.34021,27.62887,62.8866,84.12371,95.05155,98.35052
2021 to 22,London,A level,Modern languages,French,1086.0,17.86372,44.6593,69.8895,85.08287,95.39595,98.71087
2021 to 22,London,A level,Classical studies,Other Classical Languages,19.0,68.42105,89.47368,94.73684,94.73684,100.0,100.0
2021 to 22,London,A level,Accounting and Finance,Total Accounting and finance,171.0,1.75439,8.77193,30.40936,57.30994,77.77778,92.98246
2021 to 22,London,A level,Design and technology,D&T Systems & Control,0.0,,,,,,
2021 to 22,London,A level,All subjects,Total subjects,125975.0,14.29172,35.27763,61.26533,80.96686,92.46835,97.72495
2021 to 22,London,A level,Music,Total Music,708.0,13.55932,35.31073,62.85311,82.06215,93.22034,98.58757
2021 to 22,London,A level,Design and technology,D&T Engineering,59.0,8.47458,25.42373,47.45763,59.32203,74.57627,93.22034
2021 to 22,London,A level,Arts,Communication Studies,0.0,,,,,,
2021 to 22,London,A level,Business Studies,Total Business Studies,4964.0,5.31829,19.92345,53.0419,78.52538,92.18372,97.21998
2021 to 22,London,A level,Modern languages,Total Modern languages including Other,4060.0,25.73892,54.28571,77.11823,89.13793,95.91133,98.25123
2021 to 22,London,A level,Art & Design,Photography,1175.0,14.29787,32.51064,65.2766,87.48936,96.51064,99.31915
2021 to 22,London,A level,Anthropology,Total Anthropology,0.0,,,,,,
2021 to 22,London,A level,Logic/Philosophy,Total Logic/ Philosophy,646.0,13.62229,31.42415,56.03715,73.06502,88.54489,96.43963
2021 to 22,London,A level,Geography,Geography (World Development),0.0,,,,,,
2021 to 22,London,A level,English,Total English,8047.0,13.84367,32.55872,63.91202,87.41146,96.43345,98.96856
2021 to 22,London,A level,Humanities,Total Humanities,0.0,,,,,,
2021 to 22,London,A level,Arts,Drama & Theatre Studies,1040.0,12.40385,37.11538,71.25,91.15385,97.88462,99.42308
2021 to 22,London,A level,Archaeology,Total Archaeology,0.0,,,,,,
2021 to 22,London,A level,Art & Design,Fine Art,1623.0,22.61245,42.63709,72.33518,89.46396,96.42637,99.1374
2021 to 22,London,A level,Modern languages - other,Russian,89.0,62.92135,92.13483,96.62921,97.75281,97.75281,97.75281
2021 to 22,London,A level,Home Economics,Home Economics (Food),0.0,,,,,,
2021 to 22,London,A level,Modern languages - other,Arabic,143.0,28.67133,55.94406,72.02797,80.41958,89.51049,92.30769
2021 to 22,London,A level,Modern languages - other,Dutch,0.0,,,,,,
2021 to 22,London,A level,All facilitating subjects,Total facilitating subjects,66335.0,17.47343,40.37084,62.80847,80.30904,91.65297,97.689
2021 to 22,London,A level,Classical studies,Classical Civilisation,432.0,24.30556,49.76852,78.93519,91.89815,96.2963,98.84259
2021 to 22,London,A level,Modern languages - other,Polish,188.0,34.57447,77.65957,92.02128,95.21277,96.80851,97.87234
2021 to 22,London,A level,Science - Biology,Total Biology,10594.0,12.03511,31.59335,52.61469,73.73985,88.65396,97.05494
2021 to 22,London,A level,History,Total History,6712.0,12.26162,36.50179,69.38319,87.61919,95.97735,98.8379
2021 to 22,London,A level,Maths,Total Maths,16285.0,22.94136,47.1047,63.26067,78.10255,89.99079,97.37796
2021 to 22,London,A level,Art & Design,Total Art & Design,4818.0,17.45538,36.09381,67.24782,87.60897,96.2225,99.04525
2021 to 22,London,A level,Music,Music Technology,214.0,7.94393,25.23364,52.80374,74.76636,88.31776,98.13084
2021 to 22,London,A level,Economics,Total Economics,8402.0,11.62818,33.9562,62.58034,83.11116,94.02523,97.88146
2021 to 22,London,A level,Geography,Geography,4009.0,11.27463,33.8239,66.10127,86.33076,95.88426,98.50337
2021 to 22,London,A level,Citizenship studies,Total Citizenship studies,0.0,,,,,,
2021 to 22,London,A level,Design and technology,D&T Product Design,968.0,10.22727,30.16529,58.26446,81.50826,92.8719,97.62397
2021 to 22,London,A level,Arts,Media/Film/Tv Studies,2601.0,4.99808,20.79969,58.74664,85.58247,95.61707,98.80815
2021 to 22,London,A level,Physical Education,Dance,110.0,20.0,42.72727,71.81818,93.63636,98.18182,99.09091
2021 to 22,London,A level,Modern languages - other,Turkish,203.0,18.71921,55.17241,80.78818,91.133,94.58128,96.05911
2021 to 22,London,A level,English,English language,615.0,5.04065,19.02439,53.65854,83.90244,95.60976,99.02439
2021 to 22,London,A level,Design and technology,D&T Textiles Technology,34.0,8.82353,35.29412,64.70588,94.11765,97.05882,100.0
2021 to 22,London,A level,Design and technology,D&T Food Technology,0.0,,,,,,
2021 to 22,London,A level,Science - other,Total Other Sciences,54.0,12.96296,33.33333,48.14815,61.11111,85.18519,94.44444
2021 to 22,London,A level,Arts,Film Studies,908.0,6.38767,25.0,62.88546,85.57269,94.38326,98.01762
2021 to 22,London,A level,Maths,Mathematics (Pure),0.0,,,,,,
2021 to 22,London,A level,Modern languages - other,Bengali,8.0,62.5,87.5,100.0,100.0,100.0,100.0
2021 to 22,London,A level,English,English literature,6672.0,15.52758,35.53657,66.63669,88.56415,96.83753,99.14568
2021 to 22,London,A level,Design and technology,Design & Technology,0.0,,,,,,
2021 to 22,London,A level,Music,Music,494.0,15.9919,39.67611,67.20648,85.22267,95.34413,98.78543
2021 to 22,London,A level,Classical studies,Classical Greek,11.0,36.36364,72.72727,90.90909,100.0,100.0,100.0
2021 to 22,London,A level,English,English language & literature,760.0,6.18421,17.36842,48.28947,80.13158,93.55263,97.36842
2021 to 22,London,A level,Art & Design,History of Art,48.0,22.91667,29.16667,64.58333,91.66667,97.91667,100.0
2021 to 22,London,A level,Art & Design,3d Studies,216.0,11.11111,25.46296,54.16667,76.38889,90.74074,97.68519
2021 to 22,London,A level,Modern languages,Spanish,1569.0,22.88082,50.47801,76.09943,90.05736,96.87699,99.17145
2021 to 22,London,A level,Sociology,Total Sociology,8624.0,10.36642,28.96568,59.48516,83.14007,94.5385,98.07514
2021 to 22,London,A level,Arts,Total Arts,4549.0,6.96856,25.36821,62.4313,86.85425,95.88921,98.79094
2021 to 22,London,A level,Design and technology,Total D&T,1061.0,10.08483,30.06598,57.86993,80.67861,91.98869,97.45523
2021 to 22,London,A level,Science - Chemistry,Total Chemistry,9668.0,12.19487,34.70211,55.2441,73.38643,87.57758,96.69011
2021 to 22,London,A level,ICT,Total ICT,0.0,,,,,,
2021 to 22,London,A level,General studies,General Studies,0.0,,,,,,
2021 to 22,London,A level,Modern languages - other,Portuguese,135.0,18.51852,47.40741,72.59259,85.18519,91.85185,94.07407
2021 to 22,London,A level,Maths,Additional Mathematics,0.0,,,,,,
2021 to 22,London,A level,Home Economics,Total Home Economics,0.0,,,,,,
2021 to 22,London,A level,Maths,Mathematics (Statistics),30.0,0.0,0.0,20.0,40.0,63.33333,83.33333
2021 to 22,London,A level,Physical Education,Physical Education/Sports Studies,954.0,9.43396,27.25367,54.61216,77.04403,93.08176,97.90356
2021 to 22,London,A level,Art & Design,Critical Studies,40.0,25.0,55.0,85.0,97.5,100.0,100.0
2021 to 22,London,A level,All STEM subjects,Total STEM subjects,47470.0,17.94396,40.30335,59.14472,76.25869,89.28376,97.00232
2021 to 22,London,A level,Classical studies,Total Classical studies,568.0,29.75352,55.98592,80.28169,92.95775,97.00704,98.94366
2021 to 22,London,A level,Modern languages - other,Total Other Modern Languages,1107.0,36.6757,67.93135,84.91418,91.23758,94.57995,96.2963
2021 to 22,London,A level,Modern languages - other,Urdu,27.0,40.74074,77.77778,92.59259,92.59259,92.59259,96.2963
2021 to 22,North West,A level,Modern languages - other,Chinese,11.0,36.36364,90.90909,90.90909,90.90909,100.0,100.0
2021 to 22,North West,A level,Modern languages - other,Italian,59.0,61.01695,88.13559,98.30508,100.0,100.0,100.0
2021 to 22,North West,A level,Modern languages - other,Japanese,0.0,,,,,,
2021 to 22,North West,A level,Classical studies,Latin,19.0,73.68421,94.73684,100.0,100.0,100.0,100.0
2021 to 22,North West,A level,Modern languages - other,Modern Greek,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,North West,A level,Science - other,Geology,176.0,15.90909,38.63636,59.09091,78.40909,95.45455,99.43182
2021 to 22,North West,A level,Arts,Creative Writing,0.0,,,,,,
2021 to 22,North West,A level,Maths,Use of mathematics,0.0,,,,,,
2021 to 22,North West,A level,Classical studies,Ancient History,198.0,6.56566,22.72727,63.13131,89.39394,96.9697,98.48485
2021 to 22,North West,A level,Modern languages - other,Irish,0.0,,,,,,
2021 to 22,North West,A level,General studies,Critical Thinking,0.0,,,,,,
2021 to 22,North West,A level,Art & Design,Textiles,476.0,21.21849,45.37815,83.19328,96.0084,99.57983,100.0
2021 to 22,North West,A level,Government and politics,Total Government and Politics,1406.0,16.85633,40.39829,67.0697,87.1266,94.95021,98.29303
2021 to 22,North West,A level,Physical Education,Total Physical Education,1422.0,12.23629,31.36428,57.80591,80.02813,93.24895,97.81997
2021 to 22,North West,A level,Modern languages - other,Punjabi,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,North West,A level,Religious Studies,Total Religious Studies,1562.0,9.15493,30.85787,64.08451,85.53137,95.0064,98.71959
2021 to 22,North West,A level,Modern languages - other,Persian,8.0,25.0,62.5,75.0,87.5,100.0,100.0
2021 to 22,North West,A level,Psychology,Total Psychology,8848.0,11.15506,30.61709,58.08092,80.91094,93.34313,98.10127
2021 to 22,North West,A level,Science - Physics,Total Physics,3386.0,14.79622,35.26285,54.78441,75.2215,90.22445,97.63733
2021 to 22,North West,A level,Science - other,Environmental Science,63.0,7.93651,17.46032,49.20635,77.77778,96.8254,98.4127
2021 to 22,North West,A level,Science - other,Electronics,110.0,22.72727,48.18182,66.36364,80.90909,97.27273,99.09091
2021 to 22,North West,A level,Modern languages - other,Gujarati,0.0,,,,,,
2021 to 22,North West,A level,Art & Design,Art and design,843.0,21.94543,39.14591,69.15777,88.6121,95.61091,98.93238
2021 to 22,North West,A level,Computer Science,Total Computer Science,1874.0,12.91355,32.01708,54.32231,74.54642,90.12807,97.492
2021 to 22,North West,A level,Geography,Total Geography,3417.0,8.6333,29.11911,60.84284,83.49429,95.11267,98.56599
2021 to 22,North West,A level,Maths - Further,Total Further Mathematics,1065.0,37.84038,63.75587,80.0,90.23474,95.77465,98.68545
2021 to 22,North West,A level,Law,Total Law,2666.0,10.42761,29.96999,54.35109,74.71868,89.27232,97.14929
2021 to 22,North West,A level,Modern languages,German,214.0,21.96262,55.14019,75.70093,89.71963,97.19626,100.0
2021 to 22,North West,A level,General studies,Total General studies,0.0,,,,,,
2021 to 22,North West,A level,Maths,Maths,8194.0,18.69661,43.34879,59.61679,76.67806,90.22455,97.77886
2021 to 22,North West,A level,Modern languages - other,Modern Hebrew,5.0,80.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,North West,A level,Classical studies,Classics (General),0.0,,,,,,
2021 to 22,North West,A level,Art & Design,Graphics,930.0,16.98925,39.24731,78.3871,94.51613,98.92473,99.35484
2021 to 22,North West,A level,Modern languages,French,569.0,17.57469,47.27592,73.98946,89.10369,95.78207,99.12127
2021 to 22,North West,A level,Classical studies,Other Classical Languages,1.0,100.0,100.0,100.0,100.0,100.0,100.0
2021 to 22,North West,A level,Accounting and Finance,Total Accounting and finance,526.0,8.93536,27.18631,52.85171,76.42586,92.39544,97.3384
2021 to 22,North West,A level,Design and technology,D&T Systems & Control,0.0,,,,,,
2021 to 22,North West,A level,All subjects,Total subjects,82513.0,12.54227,33.37535,60.45229,81.70349,93.49315,98.30936
2021 to 22,North West,A level,Music,Total Music,451.0,11.97339,31.70732,58.53659,79.37916,93.56984,98.44789
2021 to 22,North West,A level,Design and technology,D&T Engineering,104.0,5.76923,22.11538,38.46154,64.42308,86.53846,96.15385
2021 to 22,North West,A level,Arts,Communication Studies,0.0,,,,,,
2021 to 22,North West,A level,Business Studies,Total Business Studies,4423.0,7.16708,24.71173,60.97671,84.73887,95.36514,98.53041
2021 to 22,North West,A level,Modern languages,Total Modern languages including Other,1842.0,20.84691,50.86862,74.59283,88.65364,95.43974,98.69707
2021 to 22,North West,A level,Art & Design,Photography,1114.0,13.55476,32.94434,70.73609,91.20287,97.12747,98.6535
2021 to 22,North West,A level,Anthropology,Total Anthropology,0.0,,,,,,
