time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,region_code,region_name,old_la_code,new_la_code,la_name,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,850,E10000014,Hampshire,A level,Level 3,7813,6904,7018,6992,6039,89.825,89.492,87.471
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,919,E10000015,Hertfordshire,A level,Level 3,6728,6707,6435,6350,6313,95.645,94.382,94.126
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,886,E10000016,Kent,A level,Level 3,6028,6003,5688,5560,5527,94.36,92.236,92.071
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000002,North West,888,E10000017,Lancashire,A level,Level 3,4562,4553,4108,4074,4016,90.048,89.303,88.206
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,855,E10000018,Leicestershire,A level,Level 3,2397,2382,2240,2192,2117,93.45,91.448,88.875
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,925,E10000019,Lincolnshire,A level,Level 3,2736,2707,2562,2534,2425,93.64,92.617,89.583
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,926,E10000020,Norfolk,A level,Level 3,3003,2973,2768,2691,2561,92.174,89.61,86.142
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,928,E10000021,Northamptonshire,A level,Level 3,2552,2398,2408,2351,2142,94.357,92.124,89.324
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,A level,Level 3,2530,2527,2355,2308,2282,93.083,91.225,90.305
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000004,East Midlands,891,E10000024,Nottinghamshire,A level,Level 3,2951,2920,2759,2694,2596,93.494,91.291,88.904
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,931,E10000025,Oxfordshire,A level,Level 3,3153,2940,2922,2856,2613,92.674,90.58,88.878
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000009,South West,933,E10000027,Somerset,A level,Level 3,1770,1439,1566,1537,1150,88.475,86.836,79.917
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000005,West Midlands,860,E10000028,Staffordshire,A level,Level 3,2635,2518,2345,2303,2181,88.994,87.4,86.616
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000006,East of England,935,E10000029,Suffolk,A level,Level 3,2378,2367,2217,2188,2074,93.23,92.01,87.621
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000008,South East,936,E10000030,Surrey,A level,Level 3,5938,5921,5478,5417,5371,92.253,91.226,90.711
201920,Academic year,Local authority,E92000001,England,Final,All state-funded mainstream providers,E12000005,West Midlands,937,E10000031,Warwickshire,A level,Level 3,2834,2822,2697,2638,2555,95.166,93.084,90.539
