time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci 
2020 to 21,South West,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,West Midlands,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,North West,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,Yorkshire and The Humber,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,South East,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,East of England,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,East Midlands,All,Further Maths & Chemistry & Computer Science,3,0,0.0
2020 to 21,North East,All,Maths & Chemistry,2,112,1.273
2020 to 21,London,All,Maths & Chemistry,2,875,2.115
2020 to 21,South West,All,Maths & Chemistry,2,264,1.252
2020 to 21,West Midlands,All,Maths & Chemistry,2,345,1.444
2020 to 21,North West,All,Maths & Chemistry,2,396,1.354
2020 to 21,Yorkshire and The Humber,All,Maths & Chemistry,2,309,1.52
2020 to 21,South East,All,Maths & Chemistry,2,540,1.248
2020 to 21,East of England,All,Maths & Chemistry,2,340,1.246
2020 to 21,East Midlands,All,Maths & Chemistry,2,221,1.247
2020 to 21,North East,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,London,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South West,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,West Midlands,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North West,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South East,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East of England,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East Midlands,Female,Further Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North East,All,Maths & Further Maths & Physics & Computer Science,4,24,0.273
2020 to 21,London,All,Maths & Further Maths & Physics & Computer Science,4,173,0.418
2020 to 21,South West,All,Maths & Further Maths & Physics & Computer Science,4,143,0.678
2020 to 21,West Midlands,All,Maths & Further Maths & Physics & Computer Science,4,111,0.465
2020 to 21,North West,All,Maths & Further Maths & Physics & Computer Science,4,90,0.308
2020 to 21,Yorkshire and The Humber,All,Maths & Further Maths & Physics & Computer Science,4,88,0.433
2020 to 21,South East,All,Maths & Further Maths & Physics & Computer Science,4,253,0.585
2020 to 21,East of England,All,Maths & Further Maths & Physics & Computer Science,4,199,0.729
2020 to 21,East Midlands,All,Maths & Further Maths & Physics & Computer Science,4,102,0.575
2020 to 21,North East,All,Maths,1,523,5.943
2020 to 21,London,All,Maths,1,4045,9.778
2020 to 21,South West,All,Maths,1,1294,6.134
2020 to 21,West Midlands,All,Maths,1,1654,6.923
2020 to 21,North West,All,Maths,1,2064,7.056
2020 to 21,Yorkshire and The Humber,All,Maths,1,1374,6.761
2020 to 21,South East,All,Maths,1,3461,8.0
2020 to 21,East of England,All,Maths,1,2021,7.406
2020 to 21,East Midlands,All,Maths,1,1175,6.628
2020 to 21,North East,All,Maths & Computer Science,2,87,0.989
2020 to 21,London,All,Maths & Computer Science,2,494,1.194
2020 to 21,South West,All,Maths & Computer Science,2,163,0.773
2020 to 21,West Midlands,All,Maths & Computer Science,2,273,1.143
2020 to 21,North West,All,Maths & Computer Science,2,366,1.251
2020 to 21,Yorkshire and The Humber,All,Maths & Computer Science,2,159,0.782
2020 to 21,South East,All,Maths & Computer Science,2,492,1.137
2020 to 21,East of England,All,Maths & Computer Science,2,276,1.011
2020 to 21,East Midlands,All,Maths & Computer Science,2,174,0.981
2020 to 21,North East,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,London,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South West,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,West Midlands,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North West,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South East,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East of England,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East Midlands,Female,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North East,Male,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2020 to 21,London,Male,Maths & Further Maths & Biology & Computer Science,4,2,0.011
2020 to 21,South West,Male,Maths & Further Maths & Biology & Computer Science,4,1,0.011
2020 to 21,West Midlands,Male,Maths & Further Maths & Biology & Computer Science,4,1,0.01
2020 to 21,North West,Male,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Computer Science,4,3,0.035
2020 to 21,South East,Male,Maths & Further Maths & Biology & Computer Science,4,2,0.01
2020 to 21,East of England,Male,Maths & Further Maths & Biology & Computer Science,4,2,0.016
2020 to 21,East Midlands,Male,Maths & Further Maths & Biology & Computer Science,4,1,0.013
2020 to 21,North East,Male,Maths & Computer Science,2,66,1.752
2020 to 21,London,Male,Maths & Computer Science,2,393,2.166
2020 to 21,South West,Male,Maths & Computer Science,2,142,1.506
2020 to 21,West Midlands,Male,Maths & Computer Science,2,216,2.07
2020 to 21,North West,Male,Maths & Computer Science,2,297,2.383
2020 to 21,Yorkshire and The Humber,Male,Maths & Computer Science,2,143,1.648
2020 to 21,South East,Male,Maths & Computer Science,2,409,2.086
2020 to 21,East of England,Male,Maths & Computer Science,2,227,1.843
2020 to 21,East Midlands,Male,Maths & Computer Science,2,150,1.964
2020 to 21,North East,All,Maths & Further Maths,2,28,0.318
2020 to 21,London,All,Maths & Further Maths,2,430,1.039
2020 to 21,South West,All,Maths & Further Maths,2,143,0.678
2020 to 21,West Midlands,All,Maths & Further Maths,2,137,0.573
2020 to 21,North West,All,Maths & Further Maths,2,157,0.537
2020 to 21,Yorkshire and The Humber,All,Maths & Further Maths,2,118,0.581
2020 to 21,South East,All,Maths & Further Maths,2,328,0.758
2020 to 21,East of England,All,Maths & Further Maths,2,222,0.814
2020 to 21,East Midlands,All,Maths & Further Maths,2,85,0.479
2020 to 21,North East,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,London,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,South West,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,West Midlands,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,North West,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Further Maths & Chemistry & Physics,3,1,0.009
2020 to 21,South East,Female,Further Maths & Chemistry & Physics,3,2,0.008
2020 to 21,East of England,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,East Midlands,Female,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,North East,Female,Maths & Computer Science,2,21,0.417
2020 to 21,London,Female,Maths & Computer Science,2,101,0.435
2020 to 21,South West,Female,Maths & Computer Science,2,21,0.18
2020 to 21,West Midlands,Female,Maths & Computer Science,2,57,0.424
2020 to 21,North West,Female,Maths & Computer Science,2,69,0.411
2020 to 21,Yorkshire and The Humber,Female,Maths & Computer Science,2,16,0.137
2020 to 21,South East,Female,Maths & Computer Science,2,83,0.351
2020 to 21,East of England,Female,Maths & Computer Science,2,49,0.327
2020 to 21,East Midlands,Female,Maths & Computer Science,2,24,0.238
2020 to 21,North East,All,Chemistry & Physics,2,24,0.273
2020 to 21,London,All,Chemistry & Physics,2,57,0.138
2020 to 21,South West,All,Chemistry & Physics,2,47,0.223
2020 to 21,West Midlands,All,Chemistry & Physics,2,56,0.234
2020 to 21,North West,All,Chemistry & Physics,2,52,0.178
2020 to 21,Yorkshire and The Humber,All,Chemistry & Physics,2,32,0.157
2020 to 21,South East,All,Chemistry & Physics,2,65,0.15
2020 to 21,East of England,All,Chemistry & Physics,2,69,0.253
2020 to 21,East Midlands,All,Chemistry & Physics,2,42,0.237
2020 to 21,North East,Female,Biology & Chemistry & Computer Science,3,3,0.06
2020 to 21,London,Female,Biology & Chemistry & Computer Science,3,7,0.03
2020 to 21,South West,Female,Biology & Chemistry & Computer Science,3,3,0.026
2020 to 21,West Midlands,Female,Biology & Chemistry & Computer Science,3,12,0.089
2020 to 21,North West,Female,Biology & Chemistry & Computer Science,3,6,0.036
2020 to 21,Yorkshire and The Humber,Female,Biology & Chemistry & Computer Science,3,4,0.034
2020 to 21,South East,Female,Biology & Chemistry & Computer Science,3,4,0.017
2020 to 21,East of England,Female,Biology & Chemistry & Computer Science,3,9,0.06
2020 to 21,East Midlands,Female,Biology & Chemistry & Computer Science,3,5,0.05
2020 to 21,North East,Female,Further Maths,1,0,0.0
2020 to 21,London,Female,Further Maths,1,2,0.009
2020 to 21,South West,Female,Further Maths,1,1,0.009
2020 to 21,West Midlands,Female,Further Maths,1,0,0.0
2020 to 21,North West,Female,Further Maths,1,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Further Maths,1,0,0.0
2020 to 21,South East,Female,Further Maths,1,1,0.004
2020 to 21,East of England,Female,Further Maths,1,3,0.02
2020 to 21,East Midlands,Female,Further Maths,1,0,0.0
2020 to 21,North East,Female,Maths & Further Maths,2,17,0.338
2020 to 21,London,Female,Maths & Further Maths,2,166,0.715
2020 to 21,South West,Female,Maths & Further Maths,2,63,0.54
2020 to 21,West Midlands,Female,Maths & Further Maths,2,54,0.401
2020 to 21,North West,Female,Maths & Further Maths,2,75,0.447
2020 to 21,Yorkshire and The Humber,Female,Maths & Further Maths,2,51,0.438
2020 to 21,South East,Female,Maths & Further Maths,2,143,0.605
2020 to 21,East of England,Female,Maths & Further Maths,2,75,0.501
2020 to 21,East Midlands,Female,Maths & Further Maths,2,31,0.307
2020 to 21,North East,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,London,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South West,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,West Midlands,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North West,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South East,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East of England,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East Midlands,Male,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North East,All,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2020 to 21,London,All,Maths & Further Maths & Biology & Computer Science,4,2,0.005
2020 to 21,South West,All,Maths & Further Maths & Biology & Computer Science,4,1,0.005
2020 to 21,West Midlands,All,Maths & Further Maths & Biology & Computer Science,4,1,0.004
2020 to 21,North West,All,Maths & Further Maths & Biology & Computer Science,4,1,0.003
2020 to 21,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Computer Science,4,3,0.015
2020 to 21,South East,All,Maths & Further Maths & Biology & Computer Science,4,2,0.005
2020 to 21,East of England,All,Maths & Further Maths & Biology & Computer Science,4,4,0.015
2020 to 21,East Midlands,All,Maths & Further Maths & Biology & Computer Science,4,1,0.006
2020 to 21,North East,Female,Biology,1,426,8.466
2020 to 21,London,Female,Biology,1,1436,6.183
2020 to 21,South West,Female,Biology,1,1316,11.279
2020 to 21,West Midlands,Female,Biology,1,1270,9.437
2020 to 21,North West,Female,Biology,1,1296,7.72
2020 to 21,Yorkshire and The Humber,Female,Biology,1,959,8.236
2020 to 21,South East,Female,Biology,1,2107,8.909
2020 to 21,East of England,Female,Biology,1,1325,8.852
2020 to 21,East Midlands,Female,Biology,1,1069,10.594
2020 to 21,North East,Female,Maths & Physics,2,48,0.954
2020 to 21,London,Female,Maths & Physics,2,423,1.821
2020 to 21,South West,Female,Maths & Physics,2,176,1.508
2020 to 21,West Midlands,Female,Maths & Physics,2,170,1.263
2020 to 21,North West,Female,Maths & Physics,2,231,1.376
2020 to 21,Yorkshire and The Humber,Female,Maths & Physics,2,151,1.297
2020 to 21,South East,Female,Maths & Physics,2,365,1.543
2020 to 21,East of England,Female,Maths & Physics,2,192,1.283
2020 to 21,East Midlands,Female,Maths & Physics,2,151,1.496
2020 to 21,North East,Male,Further Maths & Chemistry & Physics,3,1,0.027
2020 to 21,London,Male,Further Maths & Chemistry & Physics,3,1,0.006
2020 to 21,South West,Male,Further Maths & Chemistry & Physics,3,1,0.011
2020 to 21,West Midlands,Male,Further Maths & Chemistry & Physics,3,1,0.01
2020 to 21,North West,Male,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Further Maths & Chemistry & Physics,3,1,0.012
2020 to 21,South East,Male,Further Maths & Chemistry & Physics,3,2,0.01
2020 to 21,East of England,Male,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,East Midlands,Male,Further Maths & Chemistry & Physics,3,1,0.013
2020 to 21,North East,All,Further Maths,1,0,0.0
2020 to 21,London,All,Further Maths,1,2,0.005
2020 to 21,South West,All,Further Maths,1,2,0.009
2020 to 21,West Midlands,All,Further Maths,1,0,0.0
2020 to 21,North West,All,Further Maths,1,1,0.003
2020 to 21,Yorkshire and The Humber,All,Further Maths,1,1,0.005
2020 to 21,South East,All,Further Maths,1,2,0.005
2020 to 21,East of England,All,Further Maths,1,3,0.011
2020 to 21,East Midlands,All,Further Maths,1,1,0.006
2020 to 21,North East,Female,Further Maths & Biology,2,0,0.0
2020 to 21,London,Female,Further Maths & Biology,2,0,0.0
2020 to 21,South West,Female,Further Maths & Biology,2,0,0.0
2020 to 21,West Midlands,Female,Further Maths & Biology,2,0,0.0
2020 to 21,North West,Female,Further Maths & Biology,2,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Further Maths & Biology,2,0,0.0
2020 to 21,South East,Female,Further Maths & Biology,2,0,0.0
2020 to 21,East of England,Female,Further Maths & Biology,2,0,0.0
2020 to 21,East Midlands,Female,Further Maths & Biology,2,0,0.0
2020 to 21,North East,Male,Biology & Chemistry & Computer Science,3,3,0.08
2020 to 21,London,Male,Biology & Chemistry & Computer Science,3,17,0.094
2020 to 21,South West,Male,Biology & Chemistry & Computer Science,3,9,0.095
2020 to 21,West Midlands,Male,Biology & Chemistry & Computer Science,3,19,0.182
2020 to 21,North West,Male,Biology & Chemistry & Computer Science,3,16,0.128
2020 to 21,Yorkshire and The Humber,Male,Biology & Chemistry & Computer Science,3,11,0.127
2020 to 21,South East,Male,Biology & Chemistry & Computer Science,3,18,0.092
2020 to 21,East of England,Male,Biology & Chemistry & Computer Science,3,5,0.041
2020 to 21,East Midlands,Male,Biology & Chemistry & Computer Science,3,11,0.144
2020 to 21,North East,Male,Further Maths,1,0,0.0
2020 to 21,London,Male,Further Maths,1,0,0.0
2020 to 21,South West,Male,Further Maths,1,1,0.011
2020 to 21,West Midlands,Male,Further Maths,1,0,0.0
2020 to 21,North West,Male,Further Maths,1,1,0.008
2020 to 21,Yorkshire and The Humber,Male,Further Maths,1,1,0.012
2020 to 21,South East,Male,Further Maths,1,1,0.005
2020 to 21,East of England,Male,Further Maths,1,0,0.0
2020 to 21,East Midlands,Male,Further Maths,1,1,0.013
2020 to 21,North East,All,Biology,1,580,6.591
2020 to 21,London,All,Biology,1,2050,4.955
2020 to 21,South West,All,Biology,1,1894,8.979
2020 to 21,West Midlands,All,Biology,1,1787,7.48
2020 to 21,North West,All,Biology,1,1823,6.232
2020 to 21,Yorkshire and The Humber,All,Biology,1,1333,6.559
2020 to 21,South East,All,Biology,1,3072,7.101
2020 to 21,East of England,All,Biology,1,1910,6.999
2020 to 21,East Midlands,All,Biology,1,1489,8.399
2020 to 21,North East,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,London,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South West,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,West Midlands,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North West,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,South East,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East of England,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,East Midlands,All,Maths & Biology & Chemistry & Physics & Computer Science,5,0,0.0
2020 to 21,North East,Female,Maths & Further Maths & Biology & Physics,4,2,0.04
2020 to 21,London,Female,Maths & Further Maths & Biology & Physics,4,7,0.03
2020 to 21,South West,Female,Maths & Further Maths & Biology & Physics,4,2,0.017
2020 to 21,West Midlands,Female,Maths & Further Maths & Biology & Physics,4,12,0.089
2020 to 21,North West,Female,Maths & Further Maths & Biology & Physics,4,3,0.018
2020 to 21,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Physics,4,1,0.009
2020 to 21,South East,Female,Maths & Further Maths & Biology & Physics,4,6,0.025
2020 to 21,East of England,Female,Maths & Further Maths & Biology & Physics,4,1,0.007
2020 to 21,East Midlands,Female,Maths & Further Maths & Biology & Physics,4,4,0.04
2020 to 21,North East,Male,Biology,1,154,4.087
2020 to 21,London,Male,Biology,1,614,3.384
2020 to 21,South West,Male,Biology,1,578,6.132
2020 to 21,West Midlands,Male,Biology,1,517,4.955
2020 to 21,North West,Male,Biology,1,527,4.228
2020 to 21,Yorkshire and The Humber,Male,Biology,1,374,4.309
2020 to 21,South East,Male,Biology,1,965,4.921
2020 to 21,East of England,Male,Biology,1,585,4.748
2020 to 21,East Midlands,Male,Biology,1,420,5.5
2020 to 21,North East,Male,Maths & Physics,2,236,6.263
2020 to 21,London,Male,Maths & Physics,2,1410,7.771
2020 to 21,South West,Male,Maths & Physics,2,710,7.532
2020 to 21,West Midlands,Male,Maths & Physics,2,678,6.498
2020 to 21,North West,Male,Maths & Physics,2,807,6.474
2020 to 21,Yorkshire and The Humber,Male,Maths & Physics,2,636,7.328
2020 to 21,South East,Male,Maths & Physics,2,1414,7.21
2020 to 21,East of England,Male,Maths & Physics,2,740,6.006
2020 to 21,East Midlands,Male,Maths & Physics,2,587,7.686
2020 to 21,North East,All,Further Maths & Chemistry & Physics,3,1,0.011
2020 to 21,London,All,Further Maths & Chemistry & Physics,3,1,0.002
2020 to 21,South West,All,Further Maths & Chemistry & Physics,3,1,0.005
2020 to 21,West Midlands,All,Further Maths & Chemistry & Physics,3,1,0.004
2020 to 21,North West,All,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,Yorkshire and The Humber,All,Further Maths & Chemistry & Physics,3,2,0.01
2020 to 21,South East,All,Further Maths & Chemistry & Physics,3,4,0.009
2020 to 21,East of England,All,Further Maths & Chemistry & Physics,3,0,0.0
2020 to 21,East Midlands,All,Further Maths & Chemistry & Physics,3,1,0.006
2020 to 21,North East,Female,Maths & Further Maths & Chemistry & Computer Science,4,0,0.0
2020 to 21,London,Female,Maths & Further Maths & Chemistry & Computer Science,4,3,0.013
2020 to 21,South West,Female,Maths & Further Maths & Chemistry & Computer Science,4,1,0.009
2020 to 21,West Midlands,Female,Maths & Further Maths & Chemistry & Computer Science,4,2,0.015
2020 to 21,North West,Female,Maths & Further Maths & Chemistry & Computer Science,4,2,0.012
2020 to 21,Yorkshire and The Humber,Female,Maths & Further Maths & Chemistry & Computer Science,4,2,0.017
2020 to 21,South East,Female,Maths & Further Maths & Chemistry & Computer Science,4,1,0.004
2020 to 21,East of England,Female,Maths & Further Maths & Chemistry & Computer Science,4,3,0.02
2020 to 21,East Midlands,Female,Maths & Further Maths & Chemistry & Computer Science,4,1,0.01
2020 to 21,North East,Male,Further Maths & Biology,2,0,0.0
2020 to 21,London,Male,Further Maths & Biology,2,0,0.0
2020 to 21,South West,Male,Further Maths & Biology,2,0,0.0
2020 to 21,West Midlands,Male,Further Maths & Biology,2,0,0.0
2020 to 21,North West,Male,Further Maths & Biology,2,0,0.0
2020 to 21,Yorkshire and The Humber,Male,Further Maths & Biology,2,0,0.0
2020 to 21,South East,Male,Further Maths & Biology,2,0,0.0
2020 to 21,East of England,Male,Further Maths & Biology,2,0,0.0
2020 to 21,East Midlands,Male,Further Maths & Biology,2,0,0.0
2020 to 21,North East,All,Biology & Chemistry & Computer Science,3,6,0.068
2020 to 21,London,All,Biology & Chemistry & Computer Science,3,24,0.058
2020 to 21,South West,All,Biology & Chemistry & Computer Science,3,12,0.057
2020 to 21,West Midlands,All,Biology & Chemistry & Computer Science,3,31,0.13
2020 to 21,North West,All,Biology & Chemistry & Computer Science,3,22,0.075
2020 to 21,Yorkshire and The Humber,All,Biology & Chemistry & Computer Science,3,15,0.074
2020 to 21,South East,All,Biology & Chemistry & Computer Science,3,22,0.051
2020 to 21,East of England,All,Biology & Chemistry & Computer Science,3,14,0.051
2020 to 21,East Midlands,All,Biology & Chemistry & Computer Science,3,16,0.09
2020 to 21,North East,All,Maths & Further Maths & Biology & Physics,4,5,0.057
2020 to 21,London,All,Maths & Further Maths & Biology & Physics,4,19,0.046
2020 to 21,South West,All,Maths & Further Maths & Biology & Physics,4,14,0.066
2020 to 21,West Midlands,All,Maths & Further Maths & Biology & Physics,4,19,0.08
2020 to 21,North West,All,Maths & Further Maths & Biology & Physics,4,8,0.027
2020 to 21,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Physics,4,8,0.039
2020 to 21,South East,All,Maths & Further Maths & Biology & Physics,4,26,0.06
2020 to 21,East of England,All,Maths & Further Maths & Biology & Physics,4,18,0.066
2020 to 21,East Midlands,All,Maths & Further Maths & Biology & Physics,4,14,0.079
2020 to 21,North East,Female,Chemistry,1,47,0.934
2020 to 21,London,Female,Chemistry,1,190,0.818
2020 to 21,South West,Female,Chemistry,1,81,0.694
2020 to 21,West Midlands,Female,Chemistry,1,135,1.003
2020 to 21,North West,Female,Chemistry,1,163,0.971
2020 to 21,Yorkshire and The Humber,Female,Chemistry,1,96,0.824
2020 to 21,South East,Female,Chemistry,1,206,0.871
2020 to 21,East of England,Female,Chemistry,1,103,0.688
2020 to 21,East Midlands,Female,Chemistry,1,115,1.14
2020 to 21,North East,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,London,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,South West,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,West Midlands,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,North West,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,South East,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,East of England,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,East Midlands,Female,Maths & Further Maths & Biology & Chemistry & Computer Science,5,0,0.0
2020 to 21,North East,Male,Maths & Further Maths & Biology & Physics,4,3,0.08
2020 to 21,London,Male,Maths & Further Maths & Biology & Physics,4,12,0.066
2020 to 21,South West,Male,Maths & Further Maths & Biology & Physics,4,12,0.127
2020 to 21,West Midlands,Male,Maths & Further Maths & Biology & Physics,4,7,0.067
2020 to 21,North West,Male,Maths & Further Maths & Biology & Physics,4,5,0.04
2020 to 21,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Physics,4,7,0.081
2020 to 21,South East,Male,Maths & Further Maths & Biology & Physics,4,20,0.102
2020 to 21,East of England,Male,Maths & Further Maths & Biology & Physics,4,17,0.138
2020 to 21,East Midlands,Male,Maths & Further Maths & Biology & Physics,4,10,0.131
2020 to 21,North East,All,Maths & Further Maths & Chemistry & Computer Science,4,2,0.023
2020 to 21,London,All,Maths & Further Maths & Chemistry & Computer Science,4,7,0.017
2020 to 21,South West,All,Maths & Further Maths & Chemistry & Computer Science,4,3,0.014
2020 to 21,West Midlands,All,Maths & Further Maths & Chemistry & Computer Science,4,13,0.054
2020 to 21,North West,All,Maths & Further Maths & Chemistry & Computer Science,4,12,0.041
2020 to 21,Yorkshire and The Humber,All,Maths & Further Maths & Chemistry & Computer Science,4,3,0.015
2020 to 21,South East,All,Maths & Further Maths & Chemistry & Computer Science,4,23,0.053
2020 to 21,East of England,All,Maths & Further Maths & Chemistry & Computer Science,4,11,0.04
2020 to 21,East Midlands,All,Maths & Further Maths & Chemistry & Computer Science,4,7,0.039
2020 to 21,North East,All,Maths & Physics,2,284,3.227
2020 to 21,London,All,Maths & Physics,2,1833,4.431
2020 to 21,South West,All,Maths & Physics,2,886,4.2
2020 to 21,West Midlands,All,Maths & Physics,2,848,3.549
2020 to 21,North West,All,Maths & Physics,2,1038,3.548
2020 to 21,Yorkshire and The Humber,All,Maths & Physics,2,787,3.872
2020 to 21,South East,All,Maths & Physics,2,1779,4.112
2020 to 21,East of England,All,Maths & Physics,2,932,3.415
2020 to 21,East Midlands,All,Maths & Physics,2,738,4.163
2020 to 21,North East,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,London,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,South West,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,West Midlands,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,North West,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,Yorkshire and The Humber,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,South East,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,East of England,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,East Midlands,Female,Further Maths & Physics & Computer Science,3,0,0.0
2020 to 21,North East,Male,Maths & Further Maths & Chemistry & Computer Science,4,2,0.053
2020 to 21,London,Male,Maths & Further Maths & Chemistry & Computer Science,4,4,0.022
2020 to 21,South West,Male,Maths & Further Maths & Chemistry & Computer Science,4,2,0.021
2020 to 21,West Midlands,Male,Maths & Further Maths & Chemistry & Computer Science,4,11,0.105
2020 to 21,North West,Male,Maths & Further Maths & Chemistry & Computer Science,4,10,0.08
2020 to 21,Yorkshire and The Humber,Male,Maths & Further Maths & Chemistry & Computer Science,4,1,0.012
2020 to 21,South East,Male,Maths & Further Maths & Chemistry & Computer Science,4,22,0.112
2020 to 21,East of England,Male,Maths & Further Maths & Chemistry & Computer Science,4,8,0.065
2020 to 21,East Midlands,Male,Maths & Further Maths & Chemistry & Computer Science,4,6,0.079
2020 to 21,North East,All,Further Maths & Biology,2,0,0.0
2020 to 21,London,All,Further Maths & Biology,2,0,0.0
2020 to 21,South West,All,Further Maths & Biology,2,0,0.0
2020 to 21,West Midlands,All,Further Maths & Biology,2,0,0.0
2020 to 21,North West,All,Further Maths & Biology,2,0,0.0
2020 to 21,Yorkshire and The Humber,All,Further Maths & Biology,2,0,0.0
2020 to 21,South East,All,Further Maths & Biology,2,0,0.0
2020 to 21,East of England,All,Further Maths & Biology,2,0,0.0
