time_period,region_name,characteristic_type,characteristic_value,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,pc_achieving_alev
2021 to 22,East of England,Ethnicity,White,21899,49863,20.548,87.41,B-,43.918
2022 to 23,Yorkshire and The Humber,Ethnicity,White,16223,40872,12.933,83.345,C+,39.692
2022 to 23,South East,Ethnicity,White,33547,69280,15.272,84.83,B-,48.422
2022 to 23,London,Ethnicity,White,15317,28167,17.529,89.13,B-,54.379
2022 to 23,North West,Ethnicity,White,23239,55657,13.09,85.593,C+,41.754
2022 to 23,East Midlands,Ethnicity,White,14376,30278,10.86,87.604,C+,47.48
2022 to 23,South West,Ethnicity,White,18748,43140,12.613,87.519,C+,43.459
2022 to 23,North East,Ethnicity,White,8205,23843,10.956,83.193,C+,34.413
2022 to 23,West Midlands,Ethnicity,White,15468,38823,12.504,84.807,C+,39.842
2022 to 23,East of England,Ethnicity,White,21570,48964,13.598,86.509,C+,44.053
2023 to 24,North East,Ethnicity,White,8145,24022,12.482,81.78,C+,33.906
2023 to 24,West Midlands,Ethnicity,White,15260,38821,13.801,82.896,C+,39.309
2023 to 24,East Midlands,Ethnicity,White,14203,30265,11.183,86.827,C+,46.929
2023 to 24,South West,Ethnicity,White,18765,43524,13.392,86.091,C+,43.114
2023 to 24,South East,Ethnicity,White,33244,69105,15.84,84.469,B-,48.107
2023 to 24,East of England,Ethnicity,White,21832,49609,14.055,85.462,C+,44.008
2023 to 24,London,Ethnicity,White,15451,28436,18.442,89.528,B-,54.336
2023 to 24,North West,Ethnicity,White,22965,56537,14.468,84.86,C+,40.619
2023 to 24,Yorkshire and The Humber,Ethnicity,White,16346,41183,14.019,82.332,C+,39.691
2019 to 20,South West,Ethnicity,Any other ethnic group,131,297,15.385,83.969,B-,44.108
2019 to 20,South East,Ethnicity,Any other ethnic group,416,775,16.517,85.337,B-,53.677
2019 to 20,West Midlands,Ethnicity,Any other ethnic group,363,907,17.082,82.92,B-,40.022
2019 to 20,London,Ethnicity,Any other ethnic group,2484,4710,18.846,85.064,B,52.739
2019 to 20,North West,Ethnicity,Any other ethnic group,335,859,20.415,84.179,B,38.999
2019 to 20,Yorkshire and The Humber,Ethnicity,Any other ethnic group,195,548,13.194,76.41,B-,35.584
2019 to 20,East of England,Ethnicity,Any other ethnic group,263,543,24.615,83.27,B,48.435
2019 to 20,East Midlands,Ethnicity,Any other ethnic group,129,255,18.692,89.147,B,50.588
2019 to 20,North East,Ethnicity,Any other ethnic group,97,231,23.377,79.381,B,41.991
2020 to 21,North East,Ethnicity,Any other ethnic group,99,213,34.94,90.909,B,46.479
2020 to 21,West Midlands,Ethnicity,Any other ethnic group,418,746,22.985,85.646,B,56.032
2020 to 21,South East,Ethnicity,Any other ethnic group,453,714,24.789,86.093,B,63.445
2020 to 21,North West,Ethnicity,Any other ethnic group,403,711,20.414,88.089,B,56.681
2020 to 21,Yorkshire and The Humber,Ethnicity,Any other ethnic group,221,392,20.732,85.52,B,56.378
2020 to 21,South West,Ethnicity,Any other ethnic group,112,181,25.556,88.393,B-,61.878
2020 to 21,East of England,Ethnicity,Any other ethnic group,302,499,21.739,92.715,B-,60.521
2020 to 21,East Midlands,Ethnicity,Any other ethnic group,133,245,17.757,90.226,B,54.286
2020 to 21,London,Ethnicity,Any other ethnic group,2505,4110,23.869,88.024,B,60.949
2021 to 22,Yorkshire and The Humber,Ethnicity,Any other ethnic group,252,536,16.043,82.937,B-,47.015
2021 to 22,London,Ethnicity,Any other ethnic group,2793,5133,17.229,87.648,B-,54.413
2021 to 22,East Midlands,Ethnicity,Any other ethnic group,180,344,13.333,87.222,C+,52.326
2021 to 22,North East,Ethnicity,Any other ethnic group,109,279,23.256,88.991,B,39.068
2021 to 22,West Midlands,Ethnicity,Any other ethnic group,516,1094,21.333,85.659,B-,47.166
2021 to 22,North West,Ethnicity,Any other ethnic group,485,975,23.2,90.309,B-,49.744
2021 to 22,South West,Ethnicity,Any other ethnic group,132,291,21.569,92.424,B-,45.361
2021 to 22,South East,Ethnicity,Any other ethnic group,493,863,18.568,89.047,B-,57.126
2021 to 22,East of England,Ethnicity,Any other ethnic group,321,590,19.216,87.85,B-,54.407
2022 to 23,Yorkshire and The Humber,Ethnicity,Any other ethnic group,316,635,11.489,84.81,C+,49.764
2022 to 23,South East,Ethnicity,Any other ethnic group,542,934,10.817,85.793,C,58.03
2022 to 23,London,Ethnicity,Any other ethnic group,2985,5219,10.905,87.873,C+,57.195
2022 to 23,North West,Ethnicity,Any other ethnic group,540,1155,11.278,84.259,C+,46.753
2022 to 23,East Midlands,Ethnicity,Any other ethnic group,179,322,13.846,84.916,C+,55.59
2022 to 23,South West,Ethnicity,Any other ethnic group,161,308,8.759,85.093,C+,52.273
2022 to 23,North East,Ethnicity,Any other ethnic group,95,267,13.235,83.158,C+,35.581
2022 to 23,West Midlands,Ethnicity,Any other ethnic group,538,1183,12.189,85.502,C+,45.478
2022 to 23,East of England,Ethnicity,Any other ethnic group,322,579,15.625,87.888,C+,55.613
2023 to 24,North East,Ethnicity,Any other ethnic group,130,327,9.804,81.538,C+,39.755
2023 to 24,West Midlands,Ethnicity,Any other ethnic group,566,1164,12.776,80.565,C+,48.625
2023 to 24,East Midlands,Ethnicity,Any other ethnic group,196,357,13.816,87.245,C+,54.902
2023 to 24,South West,Ethnicity,Any other ethnic group,172,339,8.148,85.465,C+,50.737
2023 to 24,South East,Ethnicity,Any other ethnic group,643,1052,12.627,85.381,C+,61.122
2023 to 24,East of England,Ethnicity,Any other ethnic group,328,613,13.06,86.585,C+,53.507
2023 to 24,London,Ethnicity,Any other ethnic group,3152,5515,13.315,86.992,C+,57.153
2023 to 24,North West,Ethnicity,Any other ethnic group,597,1224,15.884,87.102,C+,48.775
2023 to 24,Yorkshire and The Humber,Ethnicity,Any other ethnic group,321,702,16.738,80.374,C+,45.726
2019 to 20,South West,Ethnicity,Asian or Asian British,835,1386,20.633,82.754,B-,60.245
2019 to 20,South East,Ethnicity,Asian or Asian British,3955,6110,21.311,88.521,B-,64.73
2019 to 20,West Midlands,Ethnicity,Asian or Asian British,5230,10841,16.135,83.136,B-,48.243
2019 to 20,London,Ethnicity,Asian or Asian British,10800,17468,23.491,89.778,B,61.827
2019 to 20,North West,Ethnicity,Asian or Asian British,3833,8289,17.279,85.677,B-,46.242
2019 to 20,Yorkshire and The Humber,Ethnicity,Asian or Asian British,2950,7127,13.112,81.831,C+,41.392
2019 to 20,East of England,Ethnicity,Asian or Asian British,2567,4331,22.333,89.521,B,59.27
2019 to 20,East Midlands,Ethnicity,Asian or Asian British,2342,4198,17.898,87.617,B-,55.788
2019 to 20,North East,Ethnicity,Asian or Asian British,601,1156,22.246,81.364,B,51.99
2020 to 21,North East,Ethnicity,Asian or Asian British,512,871,24.235,86.914,B,58.783
2020 to 21,West Midlands,Ethnicity,Asian or Asian British,5185,8704,22.768,87.869,B,59.57
2020 to 21,South East,Ethnicity,Asian or Asian British,4372,5715,29.055,90.393,B,76.5
2020 to 21,North West,Ethnicity,Asian or Asian British,3908,6395,21.414,88.767,B,61.11
2020 to 21,Yorkshire and The Humber,Ethnicity,Asian or Asian British,2897,5445,18.986,83.051,B-,53.205
2020 to 21,South West,Ethnicity,Asian or Asian British,841,1115,31.857,92.509,B,75.426
2020 to 21,East of England,Ethnicity,Asian or Asian British,2586,3606,27.887,89.907,B,71.714
2020 to 21,East Midlands,Ethnicity,Asian or Asian British,2358,3465,25.53,88.677,B,68.052
2020 to 21,London,Ethnicity,Asian or Asian British,11060,15633,29.548,92.486,B,70.748
2021 to 22,Yorkshire and The Humber,Ethnicity,Asian or Asian British,3222,6995,17.019,81.223,C+,46.061
2021 to 22,London,Ethnicity,Asian or Asian British,11771,17817,23.996,92.125,B,66.066
2021 to 22,East Midlands,Ethnicity,Asian or Asian British,2552,4250,17.587,88.127,B-,60.047
2021 to 22,North East,Ethnicity,Asian or Asian British,578,1102,18.093,84.256,B-,52.45
2021 to 22,West Midlands,Ethnicity,Asian or Asian British,5455,10599,18.64,85.903,B-,51.467
2021 to 22,North West,Ethnicity,Asian or Asian British,4193,8130,20.916,87.193,B-,51.574
2021 to 22,South West,Ethnicity,Asian or Asian British,864,1317,22.822,91.667,B-,65.604
2021 to 22,South East,Ethnicity,Asian or Asian British,4791,6777,25.968,89.48,B-,70.695
2021 to 22,East of England,Ethnicity,Asian or Asian British,2893,4513,25.226,88.282,B,64.104
2022 to 23,Yorkshire and The Humber,Ethnicity,Asian or Asian British,3453,7019,10.025,79.699,C,49.195
2022 to 23,South East,Ethnicity,Asian or Asian British,5190,7090,18.555,87.726,C+,73.202
2022 to 23,London,Ethnicity,Asian or Asian British,12186,18077,16.911,91.49,B-,67.412
2022 to 23,North West,Ethnicity,Asian or Asian British,4563,8466,15.098,86.851,C+,53.898
2022 to 23,East Midlands,Ethnicity,Asian or Asian British,2731,4404,11.722,88.246,C+,62.012
2022 to 23,South West,Ethnicity,Asian or Asian British,965,1485,15.848,90.155,C+,64.983
2022 to 23,North East,Ethnicity,Asian or Asian British,643,1151,14.402,86.314,C+,55.864
2022 to 23,West Midlands,Ethnicity,Asian or Asian British,5861,10914,12.604,83.621,C+,53.702
2022 to 23,East of England,Ethnicity,Asian or Asian British,3055,4720,18.019,87.169,C+,64.725
2023 to 24,North East,Ethnicity,Asian or Asian British,731,1260,13.962,84.405,C+,58.016
2023 to 24,West Midlands,Ethnicity,Asian or Asian British,6222,11497,14.73,83.365,C+,54.118
2023 to 24,East Midlands,Ethnicity,Asian or Asian British,2890,4596,11.836,87.855,C+,62.881
2023 to 24,South West,Ethnicity,Asian or Asian British,1093,1623,17.438,91.4,B-,67.344
2023 to 24,South East,Ethnicity,Asian or Asian British,5477,7431,18.93,87.822,C+,73.705
2023 to 24,East of England,Ethnicity,Asian or Asian British,3149,4834,17.906,87.869,C+,65.143
2023 to 24,London,Ethnicity,Asian or Asian British,12847,19052,18.19,90.901,B-,67.431
2023 to 24,North West,Ethnicity,Asian or Asian British,4844,8964,15.319,87.283,C+,54.038
2023 to 24,Yorkshire and The Humber,Ethnicity,Asian or Asian British,3649,7496,12.164,80.68,C+,48.679
2019 to 20,South West,Disadvantage,Disadvantaged,2272,10502,12.952,75.352,C+,21.634
2019 to 20,South East,Disadvantage,Disadvantaged,3816,17129,11.211,76.887,C+,22.278
2019 to 20,West Midlands,Disadvantage,Disadvantaged,4243,17974,10.839,75.583,C+,23.606
2019 to 20,London,Disadvantage,Disadvantaged,11204,28679,13.862,84.345,B-,39.067
2019 to 20,North West,Disadvantage,Disadvantaged,4709,21687,10.418,79.55,B-,21.713
2019 to 20,Yorkshire and The Humber,Disadvantage,Disadvantaged,2940,15223,10.268,74.252,C+,19.313
2019 to 20,East of England,Disadvantage,Disadvantaged,3089,13831,10.797,77.209,C+,22.334
2019 to 20,East Midlands,Disadvantage,Disadvantaged,2219,9070,10.544,80.442,C+,24.465
2019 to 20,North East,Disadvantage,Disadvantaged,1453,9046,10.811,70.613,C+,16.062
2020 to 21,North East,Disadvantage,Disadvantaged,1324,5845,15.017,77.719,B-,22.652
2020 to 21,West Midlands,Disadvantage,Disadvantaged,4077,12370,15.468,80.182,B-,32.959
2020 to 21,South East,Disadvantage,Disadvantaged,3796,11648,15.485,79.031,B-,32.589
2020 to 21,North West,Disadvantage,Disadvantaged,4513,14131,14.011,81.121,B-,31.937
2020 to 21,Yorkshire and The Humber,Disadvantage,Disadvantaged,2830,9551,12.96,79.329,B-,29.63
